Code,Country,Description,Rate
93,Afghanistan es,LandLine,1.5
937,Afghanistan es,Mobile,1
9370,Afghanistan es,Mobile,1
9375,Afghanistan es,Mobile,1
9377,Afghanistan es,Mobile,1
9378,Afghanistan es,Mobile,1
9379,Afghanistan es,Mobile,1
355,,LandLine,0.1
355422,,LandLine,0.1
355423,,LandLine,0.1
35566,,Mobile,2.5
35567,,Mobile,2.5
35568,,Mobile,2.5
35569,,Mobile,2.5
213,,LandLine,2.3
21321,,LandLine,2.3
2135,,Mobile,2.5
2136,,Mobile,2.5
21370,,Mobile,2.5
21376,,Mobile,2.5
21377,,Mobile,2.5
213780,,Mobile,2.5
213781,,Mobile,2.5
2137899,,Mobile,2.5
21379,,Mobile,2.5
1684,,LandLine,18
16842,,Mobile,105
168473,,Mobile,105
376,,LandLine,11
3763,,Mobile,11
3764,,Mobile,11
3765,,Mobile,11
3766,,Mobile,11
244,,LandLine,13
2449,,Mobile,113
24491,,Mobile,113
24492,,Mobile,113
24493,,Mobile,113
24494,,Mobile,113
24499,,Mobile,113
1264,,LandLine,3213
1264235,,Mobile,2213
1264469,,Mobile,2213
1264476,,Mobile,2213
1264536,,Mobile,2213
1264537,,Mobile,2213
1264538,,Mobile,2213
1264539,,Mobile,2213
1264543,,Mobile,2213
126458,,Mobile,2213
1264581,,Mobile,2213
1264582,,Mobile,2213
1264583,,Mobile,2213
1264584,,Mobile,2213
1264729,,Mobile,2213
1264772,,Mobile,2213
672,,LandLine,33
6723,,LandLine,0.25
1268,,LandLine,0
1268464,,Mobile,0
1268716,,Mobile,0
1268717,,Mobile,0
1268718,,Mobile,0
1268719,,Mobile,0
126872,,Mobile,0
1268720,,Mobile,0
1268721,,Mobile,0
1268722,,Mobile,0
1268724,,Mobile,0
1268725,,Mobile,0
1268726,,Mobile,0
1268732,,Mobile,0
1268734,,Mobile,0
1268736,,Mobile,0
1268764,,Mobile,0
126877,,Mobile,0
126878,,Mobile,0
1268783,,Mobile,0
1268785,,Mobile,0
1268788,,Mobile,0
54,,LandLine,0
5411,,LandLine,0
54221,,LandLine,0
54223,,LandLine,0
542293,,LandLine,0
54230,,LandLine,0
542302,,LandLine,0
54232,,LandLine,0
542323,,LandLine,0
542362,,LandLine,0
54237,,LandLine,0
54261,,LandLine,0
542652,,LandLine,0
542664,,LandLine,0
54291,,LandLine,0
54299,,LandLine,0
54332,,LandLine,0
54341,,LandLine,0
54342,,LandLine,0
54343,,LandLine,0
543461,,LandLine,0
543462,,LandLine,0
543464,,LandLine,0
543476,,LandLine,0
54348,,LandLine,0
543489,,LandLine,0
54351,,LandLine,0
543541,,LandLine,0
543543,,LandLine,0
543571,,LandLine,0
54358,,LandLine,0
54362,,LandLine,0
54372,,LandLine,0
543722,,LandLine,0
543783,,LandLine,0
54379,,LandLine,0
54381,,LandLine,0
54387,,LandLine,0
54387400,,LandLine,0
54387401,,LandLine,0
5438742,,LandLine,0
54387431,,LandLine,0
54387432,,LandLine,0
54387434,,LandLine,0
54387435,,LandLine,0
54387436,,LandLine,0
54387437,,LandLine,0
543874384,,LandLine,0
543874385,,LandLine,0
543874386,,LandLine,0
543874387,,LandLine,0
543874388,,LandLine,0
54387439,,LandLine,0
54387495,,LandLine,0
54387497,,LandLine,0
549,,Mobile,0
54911,,Mobile,0
374,,LandLine,0
37410,,LandLine,0
37447,,LandLine,0
3745,,Mobile,0
37455,,Mobile,0
3747,,Mobile,0
37477,,Mobile,0
3749,,Mobile,0
37491,,Mobile,0
37493,,Mobile,0
37494,,Mobile,0
37495,,Mobile,0
37496,,Mobile,0
37497,,Mobile,0
37498,,Mobile,0
37499,,Mobile,0
297,,LandLine,0
29756,,Mobile,0
29759,,Mobile,0
297600,,Mobile,0
297622,,Mobile,0
297630,,Mobile,0
297640,,Mobile,0
297641,,Mobile,0
29766,,Mobile,0
29769,,Mobile,0
29773,,Mobile,0
29774,,Mobile,0
2979,,Mobile,0
247,,LandLine,0
61,,LandLine,0
61261,,LandLine,0
61262,,LandLine,0
6128,,LandLine,0
6129,,LandLine,0
6138,,LandLine,0
6139,,LandLine,0
614,,Mobile,0
61401,,Mobile,0
61402,,Mobile,0
61403,,Mobile,0
61411,,Mobile,0
61412,,Mobile,0
61413,,Mobile,0
61421,,Mobile,0
61422,,Mobile,0
61423,,Mobile,0
61431,,Mobile,0
61432,,Mobile,0
61434,,Mobile,0
61435,,Mobile,0
61466,,Mobile,0
614685,,Mobile,0
614686,,Mobile,0
614687,,Mobile,0
614688,,Mobile,0
614689,,Mobile,0
6173,,LandLine,0
6186,,LandLine,0
6187,,LandLine,0
61881,,LandLine,0
61882,,LandLine,0
61883,,LandLine,0
61884,,LandLine,0
61892,,LandLine,0
61893,,LandLine,0
61894,,LandLine,0
